City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuku'alofa,-21.1333,-175.2,295.34,73,75,4.12,TO,1698046827
1,bethel,41.3712,-73.414,280.62,76,75,3.6,US,1698046744
2,ishigaki,24.3448,124.1572,301.22,61,20,6.17,JP,1698046828
3,howard springs,-12.497,131.047,307.1,59,12,4.47,AU,1698046828
4,callao,-12.0667,-77.15,293.55,82,75,5.66,PE,1698046829
5,chonchi,-42.6128,-73.8092,277.66,97,32,1.51,CL,1698046829
6,lugoba,-6.45,38.3333,306.3,38,30,0.75,TZ,1698046829
7,menaka,15.9182,2.4022,305.19,11,5,4.41,ML,1698046830
8,saipan,15.1355,145.701,302.54,79,20,5.66,MP,1698046830
9,poshekhon'ye,58.4993,39.1353,274.45,95,100,1.68,RU,1698046831
10,pont rouge,48.8833,-72.0825,275.31,87,40,2.61,CA,1698046831
11,lorengau,-2.0226,147.2712,300.67,81,88,2.87,PG,1698046831
12,kodiak,57.79,-152.4072,275.88,52,0,5.14,US,1698046832
13,longyearbyen,78.2186,15.6401,264.06,67,0,3.09,SJ,1698046832
14,new norfolk,-42.7826,147.0587,290.33,69,4,1.78,AU,1698046833
15,bilibino,68.0546,166.4372,263.9,94,100,1.04,RU,1698046833
16,sylhet,24.5,91.6667,302.17,69,94,1.82,BD,1698046732
17,west island,-12.1568,96.8225,301.14,69,81,5.14,CC,1698046834
18,margaret river,-33.95,115.0667,288.62,50,94,7.14,AU,1698046628
19,isafjordur,66.0755,-23.124,276.17,81,100,2.06,IS,1698046835
20,ouadda,8.0777,22.4007,302.26,54,55,2.12,CF,1698046835
21,jamestown,42.097,-79.2353,276.95,87,100,2.06,US,1698046581
22,labrador city,52.9463,-66.9114,271.1,80,100,1.54,CA,1698046836
23,clocolan,-28.9137,27.5656,292.5,44,95,3.16,ZA,1698046836
24,tiksi,71.6872,128.8694,265.4,96,100,3.84,RU,1698046836
25,waitangi,-43.9535,-176.5597,281.94,78,44,1.34,NZ,1698046837
26,santa vitoria,-18.8386,-50.1214,298.43,46,93,3.63,BR,1698046837
27,touros,-5.1989,-35.4608,297.44,86,100,4.54,BR,1698046837
28,wailua homesteads,22.0669,-159.378,297.59,88,20,6.69,US,1698046838
29,porto san giorgio,43.1827,13.7934,293.15,56,2,1.02,IT,1698046838
30,udachny,66.4167,112.4,266.11,97,93,1.4,RU,1698046839
31,itoman,26.1247,127.6694,300.36,61,75,5.66,JP,1698046839
32,perugorria,-29.3413,-58.6106,294.37,96,100,5.82,AR,1698046839
33,blackmans bay,-43.0167,147.3167,289.67,64,12,1.79,AU,1698046840
34,grytviken,-54.2811,-36.5092,271.34,76,17,5.05,GS,1698046840
35,codrington,-38.2667,141.9667,286.7,64,100,3.85,AU,1698046840
36,bei'an,24.5399,109.533,300.58,55,6,0.71,CN,1698046841
37,harsefeld,53.45,9.5,280.4,95,2,2.46,DE,1698046841
38,malaga,36.7202,-4.4203,294.25,88,40,1.54,ES,1698046685
39,puerto baquerizo moreno,-0.9,-89.6,296.24,83,83,5.88,EC,1698046842
40,saint-philippe,-21.3585,55.7679,300.99,75,6,4.93,RE,1698046842
41,yellowknife,62.456,-114.3525,267.27,97,100,7.72,CA,1698046725
42,fraijanes,14.4653,-90.4408,290.19,88,100,5.14,GT,1698046843
43,alofi,-19.0595,-169.9187,297.09,88,40,3.09,NU,1698046843
44,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,70,75,4.0,RU,1698046802
